,client_id,name0,name1,name2,name3
78,014fa265f375c4aff5d779757c918ed8,sleeping,sleeping,sleeping,sleeping
79,0155cd3c31a79022e444086432a21ac7,big spenders,big spenders,sleeping,big spenders
80,01573ddf1fe1a45983533a2d697306e6,big spenders,big spenders,big spenders,big spenders
81,0163b01c3c7b7aee4d4d0aea056d5d0b,sleeping,,,
82,01646d09a26f6c84c8bbce5c5f334423,most frequent,,better sleeping,sleeping
83,0165a78a416355d163b973798251d8a4,sleeping,,,
84,017269033cb5d7b45c979452e765c1f1,sleeping,,,
85,0172f7e12794ed0282e316022f834fd2,better sleeping,,,sleeping
86,01789354a9205ac0e120df806b507ec8,sleeping,better sleeping,sleeping,better sleeping
87,017a8d16ad048f04fcc1d83f40d7015f,big spenders,sleeping,sleeping,sleeping
88,017b9f27abbb966883fae02c4473f06a,sleeping,better sleeping,,sleeping
89,017f4f014046a606a76cda392cf152f3,better sleeping,better sleeping,better sleeping,most frequent
90,018d88dd20da3ba94ff4383ab61eb7ba,most frequent,most frequent,better sleeping,most frequent
91,0190d53671419bf305c4d8b6b231acfd,sleeping,,,
92,019360c847d05da335984e50a57f62fa,sleeping,,,
93,01952307c2407aea9fa2975f4f688654,sleeping,,better sleeping,sleeping
94,01a55107949c74db693a9e2c6c41510a,sleeping,sleeping,,sleeping
95,01a769d4d03be6e5c822979f84993338,sleeping,,,sleeping
96,01a8610dd1478cb1ca4b4e30c7cd2bc1,better sleeping,,sleeping,sleeping
97,01a8a7b3d696fc1e082a0088ab8892fa,better sleeping,most frequent,most frequent,better sleeping
98,01a92730f6583058b297cc7cb813c430,better sleeping,sleeping,better sleeping,sleeping
99,01a96980ac4f5fb155c50bf30271a4bc,sleeping,sleeping,sleeping,sleeping
100,01ac538ca395e835bd6fdd800ff5b962,sleeping,sleeping,,sleeping
101,01b579f782d84106c716e01cabbbb8bb,better sleeping,,,
102,01b5ff8d2e41167fe612fc33bc67d119,better sleeping,better sleeping,,sleeping
103,01b69012e7f17cd91be43d8fdae9df66,sleeping,better sleeping,better sleeping,better sleeping
104,01bad65061a6b011424414f3b29791f8,sleeping,sleeping,,sleeping
105,01c085f76411fbca33b474798a2dbfe7,sleeping,,,sleeping
106,01c09d01f09e016f2595148376f35d04,big spenders,big spenders,sleeping,sleeping
107,01c90c48765afe078f9c1f510ad18e7f,sleeping,better sleeping,sleeping,sleeping
108,01cd0fc7d1bf8d8137572a4600616ae6,sleeping,,sleeping,sleeping
109,01d2ab4eefcee9d7a9bb3cbb4fc517d3,sleeping,sleeping,sleeping,most frequent
110,01d334fbc6f04b8a9fc73965add4786c,big spenders,sleeping,,better sleeping
111,01dcce57dbc17da93aeaecdd3f25702b,sleeping,big spenders,big spenders,big spenders
112,01dcd7c1da02192ba4bacd3950e80e41,better sleeping,sleeping,better sleeping,big spenders
113,01de443e3c33df9d44a1326ccd07f996,sleeping,sleeping,sleeping,sleeping
114,01e00c9dff1fbcf65b630f9b7ea2631e,better sleeping,sleeping,sleeping,better sleeping
115,01f9665f14096ceae0cceb8595d194ef,sleeping,sleeping,sleeping,
116,0200b979ed19bfa86d5c31b77a7a28b0,sleeping,better sleeping,sleeping,sleeping
117,0206c03d225fc9ded09b5514d32ecfa3,sleeping,big spenders,sleeping,sleeping
118,020867055fe82567fdb55d83f2df0396,sleeping,big spenders,better sleeping,better sleeping
119,020ba4bfc3ea5503014fcb9ac71381e9,better sleeping,,sleeping,
120,020c24612987516347ae4260223dd37a,better sleeping,sleeping,sleeping,sleeping
121,020cb267efc9f9241e864a5f5cf543a1,sleeping,,sleeping,sleeping
122,020ed5ebfb90736a161be5b87b3dba18,sleeping,sleeping,sleeping,better sleeping
123,0219ecc2f371a108202c27bac8db9273,sleeping,,sleeping,
124,021aeff4e69c8adda4dc9fd1c3d87224,sleeping,,,sleeping
125,021bc8377fec705bb7a2c94ce51f7be1,sleeping,,sleeping,
126,021d5e34f955fba3e8f741087c99c153,sleeping,sleeping,champions,better sleeping
127,0223d0c02da8b9139e221af0be109357,better sleeping,sleeping,big spenders,big spenders
128,022e13b3366b1d320c87662ee678ebcb,sleeping,sleeping,sleeping,big spenders
129,0230c2c94f32c037c193d40f1be76ec1,sleeping,,,
130,0242b5dc8863bc96b0f2c3fcf29560c1,sleeping,sleeping,,sleeping
131,02432ecf70d558ef79fceeb2dce7ab69,sleeping,,sleeping,sleeping
132,0246a6898acd7008d6fdafb670c61110,sleeping,sleeping,,
133,02495479abd403eb047376f02ead551d,champions,better sleeping,,big spenders
134,025035ff88b9b65005cc7c01a48474ff,big spenders,sleeping,big spenders,sleeping
135,0257801aaf0e465b24bcdef3d794dd8d,most frequent,big spenders,sleeping,better sleeping
136,0258b29516774c968a1df059e830dc80,sleeping,sleeping,sleeping,
137,025938d08e182e9ad5bea2f423453852,big spenders,,,
138,025bfdf5ae32b549b814693ea6df2819,better sleeping,sleeping,,sleeping
139,02611b14fb39d00d546737164ce32697,better sleeping,,,
140,02624f30b2bfd8f4a73f84b6972d4ecd,better sleeping,sleeping,sleeping,most frequent
