,client_id,name39,name40,name41,name42,name43,name44,name45,name46,name47,name48,name49,name50,name51,name52,name53,name54,name55,name56,name57,name58,name59,name60,name61,name62,name63
42,01b5ff8d2e41167fe612fc33bc67d119,average,,,,,,sleeping,,,,,,,,,,,,,,,,,,
43,01b69012e7f17cd91be43d8fdae9df66,sleeping,sleeping,,average,,,,,,,,,,,,,average,,,,,,,,
44,01b8441525306c15d2ec7ea55f6e4b82,loyal,,,,,,,,,,,,,,,,,,,,,,,,
45,01bac4aea86070a7474bdb89a22ef7b7,sleeping,,,,sleeping,average,,,,sleeping,,,,,,,,,,,sleeping,,,,sleeping
46,01d2ab4eefcee9d7a9bb3cbb4fc517d3,sleeping,,,sleeping,sleeping,,average,sleeping,,sleeping,,,,,,average,,,,,,sleeping,,,
47,01dcd7c1da02192ba4bacd3950e80e41,sleeping,sleeping,,sleeping,,,average,sleeping,sleeping,,sleeping,sleeping,,,sleeping,,sleeping,sleeping,sleeping,sleeping,sleeping,,sleeping,,
48,01e0cdcc43cd3ffa3db843eb8501e388,sleeping,,,,,sleeping,,sleeping,sleeping,,,,sleeping,,,,,,sleeping,sleeping,,,,,
49,01e80cd442ab030e0a9ddee38e3946a7,sleeping,,,,,,,,,sleeping,,,,sleeping,,,,,,,,,,sleeping,
50,02023a48919caa6c9424427a9585feae,sleeping,sleeping,,sleeping,sleeping,,sleeping,,,sleeping,,sleeping,,sleeping,sleeping,sleeping,,loyal,,,,,,,
51,0207e0e89ec188c05edfcc96487d9862,sleeping,,,,,sleeping,,sleeping,,sleeping,,sleeping,,,,sleeping,,,,,,,,average,
52,020867055fe82567fdb55d83f2df0396,sleeping,,,champions,,,,sleeping,,,,sleeping,sleeping,sleeping,,sleeping,sleeping,,average,average,sleeping,sleeping,sleeping,sleeping,
53,0211e209cddd38183d780f41f74c75d4,sleeping,,,,,,,sleeping,,,,,,sleeping,,,,sleeping,,,,,,,
54,022e13b3366b1d320c87662ee678ebcb,sleeping,average,,champions,sleeping,champions,sleeping,champions,average,sleeping,sleeping,champions,,,average,,,,,average,,,,loyal,
55,0237cf3cd26e2831221fa2be60266c77,average,loyal,sleeping,,,,sleeping,,average,loyal,loyal,champions,sleeping,,,,,average,average,average,champions,,sleeping,sleeping,average
56,02432ecf70d558ef79fceeb2dce7ab69,sleeping,sleeping,,,,,sleeping,,,,,,,,sleeping,,,,,,,,,,
57,024e3c01a5322286930499a12c156eb4,average,,sleeping,,,,,,,,,,,,,,,,,,,,,sleeping,
58,025035ff88b9b65005cc7c01a48474ff,loyal,sleeping,sleeping,,sleeping,,sleeping,sleeping,champions,sleeping,sleeping,,sleeping,sleeping,,average,loyal,sleeping,sleeping,loyal,,loyal,,sleeping,sleeping
59,02624f30b2bfd8f4a73f84b6972d4ecd,sleeping,,,,,,,,,,sleeping,,,loyal,sleeping,,sleeping,sleeping,average,,,,sleeping,sleeping,
60,02679a8c31308a0c794722c558b5b61a,sleeping,sleeping,,,,,loyal,,,,,,champions,loyal,,sleeping,,,,sleeping,,,sleeping,average,
61,026bf97a01900966ef71d8684e8dedb3,sleeping,,sleeping,,,average,,,,,,,,,average,loyal,,,,sleeping,,average,,average,sleeping
