,client_id,name0,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10
10373,d65738b11c3ccadfa37053ad58840a57,average,sleeping,,sleeping,,sleeping,,average,average,average,
10374,d658d50f4536a1990bad9926e008ea3c,sleeping,,,,,average,sleeping,average,,sleeping,
10375,d65bdc3f92d32ecefe9f2a308834a8c5,sleeping,sleeping,average,,,,,most frequent,sleeping,,
10376,d65ecb5f861a953c221b82175c0124cd,average,average,most frequent,sleeping,average,sleeping,sleeping,average,average,sleeping,sleeping
10377,d660fd6debd9e9722065d66d44a045d2,average,sleeping,sleeping,average,average,sleeping,sleeping,average,most frequent,sleeping,sleeping
10378,d6632e3ae066b9a86a0ddb7543ef4d5f,sleeping,,,sleeping,sleeping,sleeping,average,,average,,average
10379,d6645bcbe7f635ba9c52d2724fc756b2,sleeping,sleeping,sleeping,sleeping,,average,average,average,,sleeping,sleeping
10380,d66737ebe4878e4a3fcdb61af56ffe4c,average,sleeping,average,average,average,sleeping,average,average,,average,
10381,d667e77878b7f812ba89891255335850,average,,average,sleeping,,sleeping,,,,,
10382,d66babf585ac33dbc7b18eaa7ef7afee,average,,sleeping,average,,most frequent,,,,,
10383,d66ff9a2983005131148ca049b5dd033,average,,sleeping,,,sleeping,most frequent,average,sleeping,sleeping,
10384,d6792cda5bd9802e714c0248e2aa8234,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,,,sleeping,,sleeping
10385,d679975b37a38309969dbde741824f8f,sleeping,,sleeping,average,sleeping,,sleeping,average,,sleeping,
10386,d67cacd5dd75dadcb3098621356c7749,sleeping,sleeping,,sleeping,sleeping,,sleeping,sleeping,sleeping,sleeping,sleeping
10387,d67dffc9e69acf1f8604f0f9f670cf7a,average,most frequent,average,sleeping,sleeping,,sleeping,sleeping,sleeping,sleeping,most frequent
10388,d67f20be6cc649c5a8f289c4ba933c22,average,sleeping,sleeping,sleeping,average,sleeping,average,sleeping,average,sleeping,average
10389,d680d7a6e0de5eb3916762b523965cee,sleeping,,,sleeping,sleeping,sleeping,sleeping,,average,,
10390,d682ce97a504a9a9bbe7d6c7c97f82c7,average,sleeping,sleeping,average,average,sleeping,,sleeping,sleeping,,sleeping
10391,d684d4b2fedaeb30f8badaf368e53f8d,sleeping,sleeping,,sleeping,sleeping,average,,,,,
10392,d6871c7c6e4ca52e47b01ebcb8a244c0,average,sleeping,,sleeping,sleeping,sleeping,average,sleeping,sleeping,sleeping,sleeping
10393,d687a147a49a1bd56147fb64bfd45ee6,sleeping,,,sleeping,,sleeping,,,,,average
10394,d68e778e3436fe542309b475b289064c,average,sleeping,,,,,,,,,
10395,d69fc00cc7ef091312c3396b3177858c,sleeping,big spenders,big spenders,big spenders,big spenders,big spenders,average,big spenders,,,
10396,d6a2234046e2338012b56992fa7935d3,sleeping,sleeping,average,sleeping,sleeping,,sleeping,sleeping,,,sleeping
10397,d6a69e2b9bf3e087ba9f90b84b174acc,sleeping,sleeping,,sleeping,average,,sleeping,,,,
10398,d6afe10315becee69da6ff31e73707b9,sleeping,sleeping,sleeping,,,average,,sleeping,,sleeping,sleeping
10399,d6b2626551092769b8b4067bb2ddaca8,sleeping,sleeping,,average,average,sleeping,,sleeping,,sleeping,sleeping
10400,d6b4e1e3cc5eb31b30124951fa25746f,big spenders,big spenders,average,average,average,sleeping,sleeping,,big spenders,average,big spenders
10401,d6b54aad6b1ccb040548bc3b578c7b41,most frequent,,,,,,,,,,
10402,d6be7b96e7675025b5e3a91adc07ee6c,sleeping,,,,,,,,,,
10403,d6beff62ecbe3e06aee17eeac8a07b01,average,average,average,average,average,average,sleeping,average,,average,sleeping
10404,d6c07284a4eb1365bda46d74bca79573,sleeping,,,sleeping,sleeping,,,sleeping,,sleeping,sleeping
