,index,client_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,recency_score,frequency_score,monetary_score,rfm_score,segment_name
5130,22474,e4785615e71ac61c5eb66e3b70f4d6fd,83,1,121.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5131,22477,e483e42a67a9d4786caf9723684caa8f,56,1,59.29,1,1,1,111,1,1,1,111,LOST CUSTOMER
5132,22478,e4865e628a6ede7746432255d15b8f38,59,1,202.65,1,1,2,112,1,1,1,111,LOST CUSTOMER
5133,22480,e498168afbaceb40a707502a45cc4190,79,1,2.0,1,1,1,111,1,1,1,111,LOST CUSTOMER
5134,22484,e49e909188d759ae9daa2ec4905bccab,34,1,79.98,2,1,1,211,1,1,1,111,LOST CUSTOMER
5135,22486,e49f58297e7ef71a818c0d28ea9bbf49,83,1,49.67,1,1,1,111,1,1,1,111,LOST CUSTOMER
5136,22489,e4a47ff1bbf15d76841f67b38ecf3460,43,2,114.88,1,1,1,111,1,1,1,111,LOST CUSTOMER
5137,22495,e4bc26f704fd0d9129547aade89cbc62,85,1,132.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5138,22505,e4d9de6ea8f9efe2c260ba28dd08ad75,57,2,137.59,1,1,1,111,1,1,1,111,LOST CUSTOMER
5139,22511,e4e115021485904ba672a1675d4e6fbc,73,1,116.76,1,1,1,111,1,1,1,111,LOST CUSTOMER
5140,22513,e4e3a39f712c77f61078ffa7b6e7d8d5,40,1,28.29,1,1,1,111,1,1,1,111,LOST CUSTOMER
5141,22517,e4e970d6d80629ae504727ecbd5d5904,44,1,27.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5142,22535,e521b05ec27e54db8f2571ad2923d5ca,33,2,77.36,2,1,1,211,1,1,1,111,LOST CUSTOMER
5143,22537,e52f3da962b8c7036a279969b980351a,35,1,6.79,2,1,1,211,1,1,1,111,LOST CUSTOMER
5144,22549,e56dfd8c4e6b2c4db7413f82e8df7128,73,1,34.69,1,1,1,111,1,1,1,111,LOST CUSTOMER
5145,22553,e579384c15d9f8910f2b19b05d7e1746,84,1,164.99,1,1,2,112,1,1,1,111,LOST CUSTOMER
5146,22554,e57bb19515a0b7d5b40eef93a35b81a9,39,2,84.8,1,1,1,111,1,1,1,111,LOST CUSTOMER
