,client_id,Frequency2,Monetary2,rfm_score2,segment_name2
0,00008fb32c1c30a8ae8356b5591935e0,15,3036.0,12,need attention
1,00295f1c7d70f5e9dd5d8912fb3717be,14,4789.0,12,need attention
2,00672e9ed1643c66bd8e916d4a964d2d,16,4100.999999999999,12,need attention
3,00aa6208fc2051cac6b8c9308bdb878a,9,3929.0,12,need attention
4,01252dc0c15e483babacafa6866e05a0,15,2975.0000000000005,12,need attention
5,012b682b4ead97e70fa4997834fd11bf,17,2316.9999999999995,12,need attention
6,020cda60241ea1663043fb6bb2e21ccd,14,2304.0,12,need attention
7,020ed5ebfb90736a161be5b87b3dba18,12,3344.999999999999,12,need attention
8,020f5cf333d665052eb5c65600a1e32e,11,4103.0,12,need attention
9,0242b5dc8863bc96b0f2c3fcf29560c1,15,2165.9999999999995,12,need attention
10,02679a8c31308a0c794722c558b5b61a,12,2475.0,12,need attention
11,0278ec6fa59b09f0f0f36643a28e83c4,18,3231.999999999999,12,need attention
12,027f8b05dc1bab4b797205a1a02df8bb,15,3302.9999999999995,12,need attention
13,02ea3370769b8a1805ec122f85ac97ee,16,2662.9999999999995,12,need attention
14,036ed8a58de204d3211f9ae9af00999b,8,2122.0,12,need attention
15,039830c3f9816754b1104e8a9757efbb,16,2996.9999999999995,12,need attention
16,039ca3878f3f925cc1af52c1c9cccdd5,16,2631.0,12,need attention
17,03ff00ad063375e6c1e73837f32a88fe,18,2340.0,12,need attention
18,04e41184eb58a18a82fd095561b025d5,18,4975.999999999999,12,need attention
19,04fbc6bc5827660ac031f402f4b78b9e,14,2133.0,12,need attention
20,0515ac4db70731af871dae475b920989,8,2513.9999999999995,12,need attention
21,0523f49ec84d448fc518c11a86ffc4c5,14,4063.0,12,need attention
22,052651cd4c27c902ff4897f17c6b3506,14,2305.0,12,need attention
23,0563fda3fe3e1d06e503c3b84377e3f8,14,2798.9999999999995,12,need attention
24,05ca54cca28e5ae38fbafc1776869603,16,3497.9999999999995,12,need attention
25,05ccb94ea1cf676038efd16d05767950,17,2297.0,12,need attention
26,05cd8bde5481ae9897c1cab6837039ba,15,2250.0000000000005,12,need attention
27,05ce3349efd4a8b5a9f1bc2b34aba1b2,17,2745.999999999999,12,need attention
28,061ddeb341c7e8fb41869b8f4ba754dd,10,3275.999999999999,12,need attention
29,06264fcf610606261cd50844d9a1c6ab,17,2249.0,12,need attention
30,065b895fcfb36b1796569084cc8ba9ae,13,2846.9999999999995,12,need attention
31,066175e67937f05ccdf0911f1d772c68,3,2887.9999999999995,12,need attention
32,066bce7b13a782c23773b96955705e96,17,2500.0,12,need attention
33,069c02a9b2b4a68bcdb8c0ee6482baf3,13,2190.0,12,need attention
