,client_id,Discount9,Frequency9,Monetary9
0,00053df5878f08fff64bb6d19d857bdb,3.6370041431570663,7,1675.0
1,000b598bb8fa552507ee02a4d4096682,32.67361968925772,2,4969.0
2,000f0fb0885f4f2a0366cfdab3bce390,17.294000076370164,2,728.0
3,00125fe3b05ba65e08e6727837059786,0.0,1,90.99999999999999
4,001db1eb0f1f8d2eddc350ee6b5f9ddc,14.396559660174384,1,633.0
5,002e4de31370e6e8202dabdf00aa3a14,0.0,1,239.0
6,0036108a19275d89a0bbba144e39eada,27.750318349581587,2,1044.0
7,00394c180574d1719172676517e087ea,34.381119748951235,4,8304.0
8,003bdf063fd140c2f4b0270ee72e908a,25.689060355380793,1,2003.0
9,004765e3a80f8b1d0cd3f45a851e2783,9.09384206810767,3,3613.03
10,0049ec94684ed5a338738e3c8072c0ec,25.973598888374244,1,1525.02
11,004dd2b6941e11ae0340c97607a759a2,36.16717784493257,1,1114.0
12,004decae2c0fc97a04bdc81472ddec8f,33.09314679136868,2,5949.04
13,00519e10e482f70d94d2395f3459b952,31.049165238367298,1,4277.0
14,005740df41b6f960037de9bd45f184c6,0.0,1,506.0
15,005d8c4b703d1ec3e467a55fb5093e4a,21.32426731130587,5,8156.0
16,005e34417f2e3a183788b7e658f42105,22.089830648692054,6,19171.02
17,00608eddd0da408d5825d5f685d9b17c,13.173449266787799,3,932.0
18,0062590ec5cca5fc92d2a4254bc4feaa,23.456033323578207,3,6481.74
19,006f9c768d5710605f468c3efb37f7c1,28.263214670981657,1,356.0
20,00723f2d1d215e7eb1cee3cc55ec0e1a,27.300552612104344,6,21390.04
21,0076be9b8aab85eb8264692e02322f6a,39.68617653769879,3,7175.0
22,0077d0dfb7009eec4370afe0d05d1a49,14.764029830798062,2,4173.59
23,007f1d482f613e7e5fb74c86b3349ce0,0.0,1,24.0
24,0080de77607ec3a65e18f4bd5bf9c55e,6.085818058957682,2,211.0
25,008d47b443a65df520d523e027d88c90,14.975128221591483,9,6056.0
26,0093c001c01fdd76f6892db2e25cff53,28.87119515634071,1,506.00000000000006
27,009ab8148630220ae3a26dd86b89a2ca,32.49317161050367,1,804.0
28,009cae6b43b6e55890a9064bcb795324,17.4693204131135,10,21257.01
29,009f3126936875d007202aa2cb474cf3,20.08796418224914,1,2961.0
30,00a5538a671c122db0275b451faceaa2,0.0,2,368.0
31,00a5da0a21e5006a438aa6949794ab81,40.887897173792076,1,2173.0
32,00a875a145476bb7468126138c8ca14e,23.969981453144534,1,2303.0
33,00ad0f13156684a0b18a15a7eafede66,11.194844342809628,1,1419.03
34,00b0c2f6e4a2f03739d604ad3aee43bb,29.929502243110445,1,164.0
35,00b6cc3545ae4575e4121a307a4bb715,4.332829911424956,2,570.0
36,00bb6a4443ba9e9353126632b311f59c,4.530680524370774,1,1439.0
37,00c0021b07265d1c658e6675b6031f5d,22.976220725881717,2,3109.0
38,00c52b4835ef83f8af242747a39554c1,13.683059757881708,1,520.0
39,00ca4517f41ebc5cf1fe5b7f5b2c742a,30.789590850612267,1,2510.0
40,00d42e2e554b0204e76c5495d287a1b8,43.51316001648362,1,310.0
41,00dbfd7b587e2e9e15122203d952b76e,27.05899047431132,3,4732.0
42,00e1d8bd8116449e214ce71b7d900da2,14.104858802515944,2,598.14
43,00e46dd7ee691da825485348f4b714bd,28.679181015446165,1,2406.0
44,00e7469cbfd286267003d12e136821de,15.182481878720301,6,7641.0
45,00eed474c14f9b22aec058bc39e5c6f3,21.62833619055411,2,6808.63
46,00f3d4aced6f922e7a78dc2c9c342de9,27.086049421848603,3,5427.96
47,00f8817b8a9e47c148f2c097f92df1c3,22.527741692439516,4,5293.39
48,00f9287c4decdf0f9182dd15d30bb71d,14.705882352941178,2,358.0
49,00fc410755700c8f620f3752790d5a71,22.0442054565121,2,4412.06
50,00ff6f9b12db82a8d9ec4e5ffa49d9f4,12.146517365724048,2,67.18
51,0101a525b25400bc972e06655d65fc0d,19.673045650404482,2,1018.0
52,010bfb6072995d7dafdc5e814aeab1d0,27.48496012684792,1,761.0
53,010d23a3f8e4071dfe829d9684d40b6e,29.79054990260415,2,7316.0
54,0110371e62e5060f62e80adb61f2847b,15.40648626845261,1,1654.0
55,011985e773ed28af623a306581150b9c,3.523184650162651,2,2468.0
56,011ab0219b8e39a243fc3fdf40aa2623,18.068507997760864,2,723.0
57,0124870dcc0743b75843dc58a3f73660,23.238556771286866,1,399.0
58,0126698bf0852a3c3912153008ad3284,17.680401374074453,8,8679.1
59,012a4902a17083e35c09ea058ef16ac6,25.21928938113909,1,185.0
60,012b682b4ead97e70fa4997834fd11bf,12.140857073289506,1,1946.0
61,013cb4ac6e134e39f9f5794750677b73,40.87504450860131,3,7415.54
62,0145dd347c12fea121c5ae7eb9c99ee8,0.0,1,906.0
63,014a4c2df21d89632c1aea00495d8f58,9.928612455895626,1,104.0
64,014ae63ca75a85be364c4b9b3db0ca74,26.140256411381422,4,904.89
65,014ebfe80db23a18e451e58bca0c5b32,17.00407256604418,5,4441.0
66,014fa265f375c4aff5d779757c918ed8,13.13025272385426,1,1100.0
67,0152ff9cd34bc8b7f741e5f37da95c07,30.561376272392685,2,3158.0
68,0163507aaa7d9d0429552f7bdbd92af6,4.497835216895506,2,946.0
69,017b589ee09f22b74f81ced4076cdb70,29.719248235613378,3,1067.6200000000001
70,0181521d39731c515f029a301fb3b82a,37.494645250358495,3,4104.0
71,01854dbc9cdb1eabce8ab39b2fed3335,21.97823167803592,3,2584.0
72,0190d53671419bf305c4d8b6b231acfd,1.7378981129260835,1,125.0
